division,compID,location,date,college,first_name,last_name,playerid,position,result,score
DII,1046,"Deland, FL",3/10/18,Florida Southern,Emily,Jones,1249,5,0,"21-6, 21-7"
DII,1046,"Deland, FL",3/10/18,Florida Southern,Kayla,Dumon,1259,5,0,"21-6, 21-7"
DII,1046,"Deland, FL",3/10/18,Texas A&M Kingsville,Madeleine ,Sims,579,5,1,"21-6, 21-7"
DII,1046,"Deland, FL",3/10/18,Texas A&M Kingsville,Malee,Sowa,572,5,1,"21-6, 21-7"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Kristen,Nuss,102,1,0,"25-23, 21-17"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Claire,Coppola,103,1,0,"25-23, 21-17"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Tina,Graudina,1056,1,1,"25-23, 21-17"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Abril,Bustamante,28,1,1,"25-23, 21-17"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Haleigh,Nelson,936,2,1,"23-21, 21-19"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Hunter,Domanski,932,2,1,"23-21, 21-19"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Sammy,Slater,1053,2,0,"23-21, 21-19"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Terese,Cannon,26,2,0,"23-21, 21-19"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Maddie,Ligon,107,3,1,"21-14, 16-21, 18-16"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Emmy,Allen,100,3,1,"21-14, 16-21, 18-16"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Joy,Dennis,29,3,0,"21-14, 16-21, 18-16"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Haley,Hallgren,1055,3,0,"21-14, 16-21, 18-16"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Olivia,Powers,104,4,1,"19-21, 21-10, 15-13"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Gina,Tillis,1159,4,1,"19-21, 21-10, 15-13"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Jo,Kremer,31,4,0,"19-21, 21-10, 15-13"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Jenna,Belton,30,4,0,"19-21, 21-10, 15-13"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Riley,Young,112,5,1,"21-19, 17-21, 15-11"
DI,1047,"Manhattan Beach, Ca",3/10/18,LSU,Megan,Davenport,108,5,1,"21-19, 17-21, 15-11"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Alexandra,Poletto,1482,5,0,"21-19, 17-21, 15-11"
DI,1047,"Manhattan Beach, Ca",3/10/18,USC,Maja,Kaiser,1052,5,0,"21-19, 17-21, 15-11"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Macy,Jerger,15,1,1,"26-24, 21-19"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Victoria,Paranagua,16,1,1,"26-24, 21-19"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Carly,Kan,757,1,0,"26-24, 21-19"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Laurel,Weaver,760,1,0,"26-24, 21-19"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Sara,Putt,1012,2,0,"22-20, 21-13"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Vanessa,Freire,13,2,0,"22-20, 21-13"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Emily,Maglio,764,2,1,"22-20, 21-13"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Ka'iwi,Schucht,754,2,1,"22-20, 21-13"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Francesca,Goncalves,14,3,1,"22-20, 21-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Brooke,Kuhlman,12,3,1,"22-20, 21-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Morgan,Martin,763,3,0,"22-20, 21-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Lea,Monkhouse,1071,3,0,"22-20, 21-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Katie,Horton,17,4,1,"21-13, 17-21, 18-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Hailey,Luke,743,4,1,"21-13, 17-21, 18-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Ari,Homayun,761,4,0,"21-13, 17-21, 18-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Amy,Ozee,755,4,0,"21-13, 17-21, 18-16"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Madison,Fitzpatrick,1014,5,1,"21-15, 21-18"
DI,1048,"Manhattan Beach, Ca",3/10/18,Florida State,Molly,McBain,18,5,1,"21-15, 21-18"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Paige,Dreeuws,1061,5,0,"21-15, 21-18"
DI,1048,"Manhattan Beach, Ca",3/10/18,Hawaii,Hannah,Zalopany,758,5,0,"21-15, 21-18"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Mackenzie,Swan,473,1,1,"13-21, 21-16, 15-9"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Savannah,Siegrist,1270,1,1,"13-21, 21-16, 15-9"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Shannon,Williams,121,1,0,"13-21, 21-16, 15-9"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Ali,Denney,115,1,0,"13-21, 21-16, 15-9"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Cristina,Finan,477,2,0,"21-15, 21-17"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Morgan,Dees,474,2,0,"21-15, 21-17"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Katie,Smith,116,2,1,"21-15, 21-17"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Cadie,Bates,1210,2,1,"21-15, 21-17"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Shelby,Babowicz,475,3,0,"21-16, 21-9"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Katie,Krawczyk,470,3,0,"21-16, 21-9"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Carly,Schneider,119,3,1,"21-16, 21-9"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Julia,Mannisto,118,3,1,"21-16, 21-9"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Shaylee,Befus,1263,4,0,"21-15, 21-12"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Lauren,Petersen,1267,4,0,"21-15, 21-12"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Macie,Tendrich,120,4,1,"21-15, 21-12"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Leah,Perri,996,4,1,"21-15, 21-12"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Hannah,Marchand,1264,5,0,"21-9, 21-14"
DI,1049,"Columbia, S.C.",3/10/18,Jacksonville,Tori,Reiser,471,5,0,"21-9, 21-14"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Hannah,Edelman,125,5,1,"21-9, 21-14"
DI,1049,"Columbia, S.C.",3/10/18,South Carolina,Franky,Harrison,122,5,1,"21-9, 21-14"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Shannon,Williams,121,1,1,"21-11, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Ali,Denney,115,1,1,"21-11, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Courtney,Miller,490,1,0,"21-11, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Carina,Hoff,1021,1,0,"21-11, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Katie,Smith,116,2,1,"21-9, 21-15"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Cadie,Bates,1210,2,1,"21-9, 21-15"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Chaney,Howard,489,2,0,"21-9, 21-15"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Taryn,Griffey,482,2,0,"21-9, 21-15"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Carly,Schneider,119,3,1,"21-15, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Julia,Mannisto,118,3,1,"21-15, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Callie,Workman,1029,3,0,"21-15, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Brittany,Pase,480,3,0,"21-15, 21-11"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Leah,Perri,996,4,1,"21-15, 21-14"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Macie,Tendrich,120,4,1,"21-15, 21-14"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Carolyn,Cain,1022,4,0,"21-15, 21-14"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Casey,Justice,1025,4,0,"21-15, 21-14"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Franky,Harrison,122,5,1,"21-15, 21-16"
DI,1050,"Columbia, S.C.",3/10/18,South Carolina,Hannah,Edelman,125,5,1,"21-15, 21-16"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Madilyn,McCarty,1026,5,0,"21-15, 21-16"
DI,1050,"Columbia, S.C.",3/10/18,UNF,Nicole,DeBolt,483,5,0,"21-15, 21-16"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Tiffany,Creamer,405,1,1,"21-17, 14-21, 15-12"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Teegan,Van Gunst,1038,1,1,"21-17, 14-21, 15-12"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Jessica,Wooten,393,1,0,"21-17, 14-21, 15-12"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Aeriel,Horton,392,1,0,"21-17, 14-21, 15-12"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Brooke,Weiner,467,2,0,"21-13, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Annika,Van Gunst,1037,2,0,"21-13, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Tori,Hinojosa,387,2,1,"21-13, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Kayla,Armer,1007,2,1,"21-13, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Meagan,McCall,1034,3,1,"21-16, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Mattie,Johnson,1033,3,1,"21-16, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Katya,Silveira,1002,3,0,"21-16, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Bailey,Banks,391,3,0,"21-16, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Rebekah,Brodbeck,1036,4,1,"21-14, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Allie,Elson,462,4,1,"21-14, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Danielle,Wheeler,395,4,0,"21-14, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Mikayla,Vivens,2041,4,0,"21-14, 21-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Ashley,McGinn,461,5,0,"12-21, 21-19, 19-17"
DI,1051,"Boca Raton, FL",3/10/18,Georgia State,Eden,Hawes,1032,5,0,"12-21, 21-19, 19-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Kali,Fluke,1005,5,1,"12-21, 21-19, 19-17"
DI,1051,"Boca Raton, FL",3/10/18,Houston Baptist,Brennan,Miller,1003,5,1,"12-21, 21-19, 19-17"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Carly,Scarborough,797,1,0,"21-15, 22-20"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Brittany,Pellitteri,298,1,0,"21-15, 22-20"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Tiffany,Creamer,405,1,1,"21-15, 22-20"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Teegan,Van Gunst,1038,1,1,"21-15, 22-20"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Gabrielle,Dischler,297,2,0,"11-21, 21-19, 15-12"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Jessalyn,Kinlaw,299,2,0,"11-21, 21-19, 15-12"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Annika,Van Gunst,1037,2,1,"11-21, 21-19, 15-12"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Brooke,Weiner,467,2,1,"11-21, 21-19, 15-12"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Nicole,Navarro,304,3,0,"21-13, 16-21, 15-9"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Nicole,Grant,303,3,0,"21-13, 16-21, 15-9"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Georgia,Johnson,460,3,1,"21-13, 16-21, 15-9"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Olivia,Stasevich,468,3,1,"21-13, 16-21, 15-9"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Kaila,Dorish,1046,4,0,"21-18, 21-18"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Amanda,Silva,1043,4,0,"21-18, 21-18"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Kate,Novack,463,4,1,"21-18, 21-18"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Amie ,Held,459,4,1,"21-18, 21-18"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Erica,Brok,1040,5,1,"21-16, 21-16"
DI,1052,"Boca Raton, FL",3/10/18,FAU,Mackenzie,Morris,1044,5,1,"21-16, 21-16"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Ashley,McGinn,461,5,0,"21-16, 21-16"
DI,1052,"Boca Raton, FL",3/10/18,Georgia State,Eden,Hawes,1032,5,0,"21-16, 21-16"
DI,1053,"Stanford, Ca",3/10/18,ASU,Mia,Rivera,151,1,0,"21-18, 21-6"
DI,1053,"Stanford, Ca",3/10/18,ASU,Frances,Giedraitis,145,1,0,"21-18, 21-6"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Madeline,Mertz,35,1,1,"21-18, 21-6"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Kaylie,Mchugh,33,1,1,"21-18, 21-6"
DI,1053,"Stanford, Ca",3/10/18,ASU,Sydney,Palmer,146,2,0,"21-8, 21-8"
DI,1053,"Stanford, Ca",3/10/18,ASU,Sierra,Ellett,1200,2,0,"21-8, 21-8"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Ashley,Delgado,965,2,1,"21-8, 21-8"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Rio,Frohoff,961,2,1,"21-8, 21-8"
DI,1053,"Stanford, Ca",3/10/18,ASU,Natalie,Braun,769,3,0,"22-20, 30-28"
DI,1053,"Stanford, Ca",3/10/18,ASU,Katelyn,Carballo,143,3,0,"22-20, 30-28"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Tarin,Mergener,34,3,1,"22-20, 30-28"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Lan,Nguyen,37,3,1,"22-20, 30-28"
DI,1053,"Stanford, Ca",3/10/18,ASU,Cierra,Flood,1203,4,1,"21-15, 19-21, 15-9"
DI,1053,"Stanford, Ca",3/10/18,ASU,Katie,Cross,150,4,1,"21-15, 19-21, 15-9"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Lauren,Orlich,964,4,0,"21-15, 19-21, 15-9"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Anna,Chin,41,4,0,"21-15, 19-21, 15-9"
DI,1053,"Stanford, Ca",3/10/18,ASU,Kate ,Baldwin,1199,5,1,"21-19, 21-16"
DI,1053,"Stanford, Ca",3/10/18,ASU,Samantha,Plaster,1207,5,1,"21-19, 21-16"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Gabriella,Becerra,966,5,0,"21-19, 21-16"
DI,1053,"Stanford, Ca",3/10/18,Tulane,Briana,Correa,32,5,0,"21-19, 21-16"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Federica,Frasca,293,1,1,"11-21, 21-16, 15-12"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Margherita,Bianchin,292,1,1,"11-21, 21-16, 15-12"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Megan,McNamara,1,1,0,"11-21, 21-16, 15-12"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Nicole,McNamara,2,1,0,"11-21, 21-16, 15-12"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Dorina,Klinger,840,2,0,"16-21, 21-12, 15-10"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Lina,Bernier,285,2,0,"16-21, 21-12, 15-10"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Sarah,Sponcil ,247,2,1,"16-21, 21-12, 15-10"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Lily,Justine,9,2,1,"16-21, 21-12, 15-10"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Anabela,Sataric,294,3,0,"17-21, 21-16, 15-11"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Madison,Besterfield,1078,3,0,"17-21, 21-16, 15-11"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Savvy,Simo,745,3,1,"17-21, 21-16, 15-11"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Zana,Muno,1019,3,1,"17-21, 21-16, 15-11"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Estefanie ,Bethancourt,291,4,1,"15-21, 21-19, 15-13"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Natalia,Giron,290,4,1,"15-21, 21-19, 15-13"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Mac,May,1017,4,0,"15-21, 21-19, 15-13"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Elise,Zappia,5,4,0,"15-21, 21-19, 15-13"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Taija,Thomas,288,5,0,"21-17, 21-14"
DI,1054,"Manhattan Beach, Ca",3/10/18,FIU,Mariana,Dal Pozzo,1246,5,0,"21-17, 21-14"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Megan,Muret,1048,5,1,"21-17, 21-14"
DI,1054,"Manhattan Beach, Ca",3/10/18,UCLA,Izzy,Carey,8,5,1,"21-17, 21-14"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Kendall,Bosse,1410,1,0,"21-12, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Jacey,Smith,1409,1,0,"21-12, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Molly,Turner,152,1,1,"21-12, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Kelli,Iverson,159,1,1,"21-12, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Lauren,Walker,1411,2,0,"21-17, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Brooke,Riley,1394,2,0,"21-17, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Anna,Unnasch,163,2,1,"21-17, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Jessica,Clark,156,2,1,"21-17, 21-12"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Katelyn,Mueller,1396,3,0,"21-8, 21-9"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Eighmy,Dobbins,1406,3,0,"21-8, 21-9"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Madi,Relaz,983,3,1,"21-8, 21-9"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Hannah,Towne,157,3,1,"21-8, 21-9"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Makenzie,Kesler,1399,4,0,"21-9, 21-13"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Amy,Weiss,1397,4,0,"21-9, 21-13"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Bella,Baumann,975,4,1,"21-9, 21-13"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Taylor,Jarzombek,978,4,1,"21-9, 21-13"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Kennedy,Shelstead,1407,5,0,"21-9, 21-10"
DI,1055,"Phoenix, Az",3/10/18,Abilene Christian,Lexie,Rawls,1400,5,0,"21-9, 21-10"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Jamie ,Walsh,839,5,1,"21-9, 21-10"
DI,1055,"Phoenix, Az",3/10/18,Grand Canyon,Emily,Reinking,158,5,1,"21-9, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Madalyn,Roh,213,1,1,"23-21, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Brook,Bauer,968,1,1,"23-21, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Haven,Hill,323,1,0,"23-21, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Cassie,House,335,1,0,"23-21, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Deahna,Kraft,219,2,1,"21-10, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Corinne,Quiggle,209,2,1,"21-10, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Jillian,Bergeson,952,2,0,"21-10, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Jaelyn,Greene,318,2,0,"21-10, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Heidi,Dyer,218,3,1,"21-17, 21-14"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Gigi,Hernandez,212,3,1,"21-17, 21-14"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Jensyn,Bledsoe,316,3,0,"21-17, 21-14"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Molly,Scheel,796,3,0,"21-17, 21-14"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Skylar,Caputo,210,4,1,"21-14, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Alexis,Filippone,970,4,1,"21-14, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Hannah,Rogers,953,4,0,"21-14, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Avery,Arellano,322,4,0,"21-14, 21-10"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Jordan,Ferrari,974,5,1,"21-13, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,Pepperdine,Maddie,Dilfer,969,5,1,"21-13, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Jordan,Westendorf,955,5,0,"21-13, 21-19"
DI,1056,"Manhattan Beach, Ca",3/10/18,TCU,Claire,Doyle,317,5,0,"21-13, 21-19"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Jessica,Wooten,393,1,1,"21-11, 21-18"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Aeriel,Horton,392,1,1,"21-11, 21-18"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Carlee,Baxter,873,1,0,"21-11, 21-18"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Emily,Bowen,1185,1,0,"21-11, 21-18"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Tori,Hinojosa,387,2,1,"21-15, 21-9"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Kayla,Armer,1007,2,1,"21-15, 21-9"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Amber,Lake,878,2,0,"21-15, 21-9"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Hannah,Tannone,877,2,0,"21-15, 21-9"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Katya,Silveira,1002,3,1,"21-14, 21-12"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Bailey,Banks,391,3,1,"21-14, 21-12"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Salla,Rautiainen,1188,3,0,"21-14, 21-12"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Laura,Embry,880,3,0,"21-14, 21-12"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Danielle,Wheeler,395,4,1,"21-9, 21-16"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Mikayla,Vivens,2041,4,1,"21-9, 21-16"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Kaxandra,Naranjo,895,4,0,"21-9, 21-16"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Molly,Fusarelli,1184,4,0,"21-9, 21-16"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Kali,Fluke,1005,5,1,"21-5, 21-13"
DI,1057,"Boca Raton, FL",3/10/18,Houston Baptist,Brennan,Miller,1003,5,1,"21-5, 21-13"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Jessica,Terry,1189,5,0,"21-5, 21-13"
NAIA,1057,"Boca Raton, FL",3/10/18,Webber,Teryn,Mills,1187,5,0,"21-5, 21-13"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Sam,Manley,126,1,1,"21-16, 21-11"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Emily,Sonny,279,1,1,"21-16, 21-11"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Cali,Thompson,268,1,0,"21-16, 21-11"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Tani,Stephens ,273,1,0,"21-16, 21-11"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Taylor,Nelson,276,2,1,"21-11, 21-8"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Adlee,Van Winden,278,2,1,"21-11, 21-8"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Katie,Barker,269,2,0,"21-11, 21-8"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Morgan,Robinson,266,2,0,"21-11, 21-8"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Raeann,Greisen,284,3,1,"21-5, 21-5"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Hannah,Hubbard,275,3,1,"21-5, 21-5"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Lauren,Naatz,274,3,0,"21-5, 21-5"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Sarah,Savoca,271,3,0,"21-5, 21-5"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Macy,Gordon,1191,4,1,"13-21, 21-14, 15-10"
DI,1058,"Santa Cruz, Ca",3/10/18,Cal Poly SLO,Heather,Pembroke,283,4,1,"13-21, 21-14, 15-10"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Kassidy,Naone,1319,4,0,"13-21, 21-14, 15-10"
DI,1058,"Santa Cruz, Ca",3/10/18,Portland,Carey,Williams,1320,4,0,"13-21, 21-14, 15-10"
